Nintendo - Nintendo DSi (DLC)

Name                                                                                            Boxart  Snap  Title
1001 Blockbusters (Europe)                                                                           ✗     ✗      ✗
1001 BlockBusters (USA)                                                                              ✗     ✗      ✗
101 MiniGolf World (USA)                                                                             ✗     ✗      ✗
16 Shot! Shooting Watch (USA)                                                                        ✗     ✗      ✗
16 Shot! Shooting Watch (Europe, Australia)                                                          ✗     ✗      ✗
1st Class Poker & BlackJack (USA)                                                                    ✗     ✗      ✗
2-in-1 Solitaire (Europe, Australia)                                                                 ✗     ✗      ✗
21 - Blackjack (USA)                                                                                 ✗     ✗      ✗
24-7 Solitaire (Europe)                                                                              ✗     ✗      ✗
24-7 Solitaire (USA)                                                                                 ✗     ✗      ✗
2Puzzle It - Fantasy (Europe) (En,Fr,De,Es,It)                                                       ✗     ✗      ✗
3D Space Tank (Europe, Australia)                                                                    ✗     ✗      ✗
4 Travellers - Play French (Europe) (En,De,Es,It,Nl,Sv,No,Da,Fi)                                     ✗     ✗      ✗
5 in 1 Solitaire (USA)                                                                               ✗     ✗      ✗
505 Tangram (USA)                                                                                    ✗     ✗      ✗
90's Pool (USA)                                                                                      ✗     ✗      ✗
99Bullets (USA)                                                                                      ✗     ✗      ✗
99Bullets (Europe)                                                                                   ✗     ✗      ✗
99Moves (Europe)                                                                                     ✗     ✗      ✗
99Seconds (USA)                                                                                      ✗     ✗      ✗
Aahh! Spot the difference (USA)                                                                      ✗     ✗      ✗
Absolute BrickBuster (USA)                                                                           ✗     ✗      ✗
Absolute Chess (USA)                                                                                 ✗     ✗      ✗
Absolute Reversi (USA)                                                                               ✗     ✗      ✗
Abyss (USA)                                                                                          ✗     ✗      ✗
Academy - Checkers (Europe)                                                                          ✗     ✗      ✗
Academy - Tic-Tac-Toe (USA)                                                                          ✗     ✗      ✗
Accel Knights - Na ga Tame Ware wa Ken o Toru (Japan)                                                ✗     ✗      ✗
Ace Mathician (USA)                                                                                  ✗     ✗      ✗
Advanced Circuits (USA)                                                                              ✗     ✗      ✗
Advanced Circuits (Europe, Australia)                                                                ✗     ✗      ✗
Afterzoom (USA)                                                                                      ✗     ✗      ✗
Afterzoom (Europe)                                                                                   ✗     ✗      ✗
AiRace (USA)                                                                                         ✗     ✗      ✗
AiRace (Europe, Australia)                                                                           ✗     ✗      ✗
AiRace - Tunnel (USA)                                                                                ✗     ✗      ✗
AiRace - Tunnel (Europe, Australia)                                                                  ✗     ✗      ✗
Airport Mania - First Flight (USA)                                                                   ✗     ✗      ✗
Airport Mania - First Flight (Europe, Australia)                                                     ✗     ✗      ✗
Airport Mania - Non-Stop Flights (USA)                                                               ✗     ✗      ✗
Airport Mania - Non-Stop Flights (Europe, Australia)                                                 ✗     ✗      ✗
Al to Harapeko Monster (Japan)                                                                       ✗     ✗      ✗
AlphaBounce (Europe, Australia)                                                                      ✗     ✗      ✗
AlphaBounce (USA)                                                                                    ✗     ✗      ✗
Alt-Play - Jason Rohrer Anthology (USA)                                                              ✗     ✗      ✗
American Popstar - Road to Celebrity (USA)                                                           ✗     ✗      ✗
Amoebattle (USA)                                                                                     ✗     ✗      ✗
Anata no Rakuraku Drum Machine (Japan)                                                               ✗     ✗      ✗
Anata no Rakuraku Electronic Keyboard (Japan)                                                        ✗     ✗      ✗
Ancient Tribe (USA)                                                                                  ✗     ✗      ✗
Animal Crossing Calculator (USA)                                                                     ✗     ✗      ✗
Animal Crossing Calculator (Europe, Australia) (En,Fr,De,Es,It)                                      ✗     ✗      ✗
Animal Crossing Clock (USA)                                                                          ✗     ✗      ✗
Animal Crossing Clock (Europe, Australia) (En,Fr,De,Es,It)                                           ✗     ✗      ✗
Anonymous Notes 1 - From The Abyss (USA)                                                             ✗     ✗      ✗
