Game and Watch

Name                                      Boxart  Snap  Title
Armor Battle                                 ✗      ✗     ✗
Banana                                       ✗      ✗     ✗
Baseball                                     ✗      ✗     ✗
Bomb Fight                                   ✗      ✗     ✗
Caccia al Ladro                              ✗      ✗     ✗
Cessate il Fuoco                             ✗      ✗     ✗
Chicky Woggy (Arcade Time & Fun)             ✗      ✗     ✗
Chicky Woggy (Electronic Tini-Arcade)        ✗      ✗     ✗
Condor                                       ✗      ✗     ✗
Crazy Chewy                                  ✗      ✗     ✗
Defendo                                      ✗      ✗     ✗
Donkey Kong                                  ✗      ✗     ✗
Donkey Kong (Multi Screen)                   ✗      ✗     ✗
Donkey Kong Circus                           ✗      ✗     ✗
Donkey Kong II                               ✗      ✗     ✗
Donkey Kong Jr.                              ✗      ✗     ✗
Donkey Kong Jr. (Panorama Screen)            ✗      ✗     ✗
Donkey Kong Jr. (Table Top)                  ✗      ✗     ✗
Dungeons & Dragons Computer Fantasy Game     ✗      ✗     ✗
Egg                                          ✗      ✗     ✗
Engine Room                                  ✗      ✗     ✗
Escape                                       ✗      ✗     ✗
Explorers of Space                           ✗      ✗     ✗
Fowling                                      ✗      ✗     ✗
Frog Boaster                                 ✗      ✗     ✗
Galaxy II                                    ✗      ✗     ✗
Grab Man                                     ✗      ✗     ✗
Hippo Teeth (Mini Time & Fun)                ✗      ✗     ✗
Hippo Teeth (Sporty Time & Fun)              ✗      ✗     ✗
Hot Line (Mini Time & Fun)                   ✗      ✗     ✗
Hot Line (Sporty Time & Fun)                 ✗      ✗     ✗
Las Vegas                                    ✗      ✗     ✗
Lifeboat                                     ✗      ✗     ✗
Mario Bros.                                  ✗      ✗     ✗
Mario's Bombs Away                           ✗      ✗     ✗
Mickey Mouse (Panorama Screen)               ✗      ✗     ✗
Mickey Mouse (Wide Screen)                   ✗      ✗     ✗
Monkey                                       ✗      ✗     ✗
Monkey Jump                                  ✗      ✗     ✗
Motor Cross                                  ✗      ✗     ✗
Pac Man                                      ✗      ✗     ✗
Pancake                                      ✗      ✗     ✗
Parachute                                    ✗      ✗     ✗
Pirate                                       ✗      ✗     ✗
Roller Coaster                               ✗      ✗     ✗
Safari                                       ✗      ✗     ✗
Sleep Walker                                 ✗      ✗     ✗
Snoopy (Panorama Screen)                     ✗      ✗     ✗
Snoopy (Table Top)                           ✗      ✗     ✗
Snoopy Tennis                                ✗      ✗     ✗
Sub Chase                                    ✗      ✗     ✗
Tennis Menace                                ✗      ✗     ✗
Towering Rescue                              ✗      ✗     ✗
Tron                                         ✗      ✗     ✗
Turtle Bridge                                ✗      ✗     ✗
Wild Man Jump                                ✗      ✗     ✗
